13201,13201
26402,13201
39603,13201
52804,13201
66005,13201
79206,13201
92407,13201
105608,13201
118809,13201
132010,13201
145211,13201
158412,13201
171613,13201
184814,13201
198015,13201
211216,13201
224417,13201
237618,13201
250819,13201
264020,13201
277221,13201
290422,13201
303623,13201
316824,13201
330025,13201
343226,13201
356427,13201
369628,13201
382829,13201
396030,13201
409231,13201
422432,13201
435633,13201
448834,13201
462035,13201
475236,13201
488437,13201
501638,13201
514839,13201
528040,13201
541241,13201
554442,13201
567643,13201
580844,13201
594045,13201
607246,13201
620447,13201
633648,13201
646849,13201
660050,13201
673251,13201
686452,13201
699653,13201
