14429,14429
28858,14429
43287,14429
57716,14429
72145,14429
86574,14429
101003,14429
115432,14429
129861,14429
144290,14429
158719,14429
173148,14429
187577,14429
202006,14429
216435,14429
230864,14429
245293,14429
259722,14429
274151,14429
288580,14429
303009,14429
317438,14429
331867,14429
346296,14429
360725,14429
375154,14429
389583,14429
404012,14429
418441,14429
432870,14429
447299,14429
461728,14429
476157,14429
490586,14429
505015,14429
519444,14429
533873,14429
548302,14429
562731,14429
577160,14429
591589,14429
606018,14429
620447,14429
634876,14429
649305,14429
663734,14429
678163,14429
692592,14429
